年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型
H21,1,12～13,被災者は午前0時から午前8時までの警備業務（車による巡回）に従事していたが、帰宅時間になっても被災者が帰宅しなかったため、警察が捜索を行ったところ、翌日午前10時頃、警備場所付近の海底（水深約3m）に沈没した車から溺死した被災者を発見した。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,おぼれ
H21,1,14～15,被災者は同僚2人とパッカー車で前日に収集できなかったゴミの収集作業を行っていた。被災者の運転で災害発生場所に到着しゴミの収集作業を始めた。被災者はゴミ袋を1つ持ちパッカー車に運ぶ時に仰向けに転倒した。被災者のうめき声に同僚が気付き救急車を呼んで市立病院に搬送したが、同日死亡した。,清掃・と畜業,清掃・と畜業,その他の廃棄物処理業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒
H21,1,23～24,被災者は、事業場内の仮眠室において20時頃より休憩を取っていた。約４時間近く経っても戻らないため仮眠室内を確認しに行った同僚の作業者により、意識消失状態で発見された。,接客娯楽業,その他の接客娯楽業,その他の接客娯楽業-その他,50～99,その他,起因物なし,起因物なし,その他
H21,1,21～22,被災者含め4人は、切羽上半部の発破作業のため、ドリルジャンボを使用し、穿孔、火薬の装てんを終え、被災者が切羽下端部の結線作業を行っていたところ、切羽上方約4mから岩塊（重量約360kg）が肌落ちし、被災者を直撃した。,建設業,土木工事業,トンネル建設工事業,10～29,環境等,環境等,地山、岩石,崩壊、倒壊
H21,1,15～16,店舗兼住宅の庇部分の除雪のため、被災者はトラクター・ショベルのバケットに乗せられ、庇の一部の雪庇を落とした後、当該庇部分（高さ4.56m、幅85cm）に乗り移り、足元の雪を踏み固めていたところ、バランスを崩し墜落した。,清掃・と畜業,清掃・と畜業,その他の清掃・と畜業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H21,1,11～12,法面復旧工事において、下流側土場で上流側谷止工のふとん籠に使用する再生骨材を小袋（約25kg）に入れ、上流側に運搬するため小袋を鉄箱に8個積み、この鉄箱3箱（総重量632.5kg）を連結し単管で製作したガイド上を電動ホイストを使用して運搬中、ホイストのワイヤロープに取付けられた滑車を固定している番線が切断し、その反動で傍らで運搬の合図を行っていた被災者に滑車が飛来した。,建設業,土木工事業,砂防工事業,10～29,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,飛来、落下
H21,1,13～14,スキー場終点駅舎において、リフト滑車等の日常点検のため点検台に上がり移動中、点検歩道から約1.4mの位置にあるリフトを動かすプロペラシャフトの下を潜り抜けようとしたところ、当該シャフトの突起物であるグリース注入口（突起高さ約1.2cm）に衣服（防寒着のフード又は襟）が巻込まれ、身体は当該シャフトを軸に数回、回転し被災した。,接客娯楽業,その他の接客娯楽業,その他の接客娯楽業-その他,500～999,動力機械,動力伝導機構,動力伝導機構,はさまれ、巻き込まれ
H21,1,4～5,国道の拡幅除雪作業をトラック2台、ロータリー除雪車、標識車を使い行っていた。午前4時頃、被災者は駐車帯に同僚とパトロール車で移動し同僚から「ロータリーが入ってくるので、オーガが止ったら助手を代わるように」と指示されたが、視線誘導柱の横でロータリー除雪車の工事写真を撮影中の同僚が車道側に立っていたため「危ないから下がれ」と注意された後、国道を横断中に乗用車にはねられた。,建設業,土木工事業,その他の土木工事業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,1,8～9,被災者は作業者3人と埋め戻し作業に従事しており、作業者2人がドラグ・ショベルの前方に位置し、被災者1人だけがドラグ・ショベルの後方の位置で鍬を使い路肩の成形を行っていた。ダンプトラックが土砂を運搬してきたため、ドラグ・ショベルを約70cmほど後進させたところ、被災者はクローラにひかれた。,建設業,土木工事業,河川土木工事業,10～29,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ
H21,2,16～17,木造家屋（旧洋裁工場）の解体工事現場において、被災者は16時ごろに金属廃材を積んだダンプトラックを運転するため入場したが、ダンプトラックの荷が満載になっていなかったため待機することとなった。現場では最後の壁2面の解体作業中、グラップルで壁のうち1面を引き倒したと同時にもう1面の壁が倒れ、付近を歩いていた被災者に柱が当った。,建設業,建築工事業,その他の建築工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
