年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H24,1,9～10,工場内通路にて台車につまずき転倒し、設置してある機械の端に胸部を強打してしまった。,製造業,食料品製造業,その他の食料品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,56,50代
H24,1,19～20,包装室で納豆の包装作業終了間際に、包装機械に残っていた納豆容器の払い出し作業中にて、包装機械から流れてきた納豆容器を発見し、機械が稼動しているにも関らず、咄嗟に機械に手を入れて納豆容器を取ろうとしたため、機械に挟まれ手首を打撲した。,製造業,食料品製造業,その他の食料品製造業,10～29人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,44,40代
H24,1,1～2,電気炉スラグの出滓作業を開始し、暫くはその場で流れ状況を監視した後、詰所に戻って防熱上着と防熱前掛けを着用したまま、監視カメラにて出滓状況を監視していた。スラグが出滓し始めて７～８分後、熔融スラグが樋から溢れ出したのを発見し、直ちに罹災現場に直行して、一人で熔融スラグを止滓していた。その際、場面に溢れた熔融スラグの輻射熱によって、足首（安全長靴）上のズボンが焦げ出して、足膝下～足首を火傷した。尚、足ズボンの焦げ部を両手で払い消そうとして、手甲、指にも軽度の火傷を負った。,製造業,非鉄金属製造業,その他の非鉄金属製造業,100～299人,環境等,環境等,高温・低温環境,高温・低温の物との接触,59,50代
H24,1,10～11,ダイバーターから払い出される廃樹脂を取り除くため、ダイバーターの横で待機していた。ダイバーターから粘度の高い樹脂（温度の低い樹脂）が出始めた後、突然粘度の低い樹脂（温度の高い樹脂）がダイバーターから方向を変えて噴出し、被災者の大腿部へかかり、熱傷に至った。,製造業,化学工業,無機・有機化学工業製品製造業,50～99人,その他の装置等,その他の装置、設備,その他の装置、設備,高温・低温の物との接触,40,40代
H24,1,14～15,肉処理室での作業中、計量カップに水を汲み移動する際、急いでいたため、床の排水桝の上で滑った。計量カップを持っていたため、手で体を支えることができず、床に手をぶつけ、手首を骨折した。,製造業,食料品製造業,その他の食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,58,50代
H24,1,16～17,厨房にてスライサーで野菜の裁断を行っていた際、誤ってスライサーの刃の部分に手中指の爪部分が接触し、切傷を負った。,製造業,食料品製造業,その他の食料品製造業,30～49人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,21,20代
H24,1,9～10,野菜の加工をする現場で毎日行っている作業のトレビスを包丁で切っている際、ザクッと切ったところ、堅い物にあたる違和感があり、力一杯切ると自分の指の先端を切っていた。,製造業,食料品製造業,その他の食料品製造業,50～99人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,55,50代
H24,1,10～11,厨房の下処理室で南瓜をカットしてたところ、南瓜が固く包丁が滑り、小指を切った。,製造業,食料品製造業,その他の食料品製造業,30～49人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,23,20代
H24,1,23～24,炉から薬品を取出す作業中、製品上部の固定部と製品を切り離した際、製品上部の切断部が鋭利になっており、製品を支えていた手が切断部に触れて負傷した。,製造業,電気機械器具製造業,その他の電気機械器具製造業,1000～9999人,物質、材料,材料,その他の材料,切れ、こすれ,37,30代
H24,1,9～10,工場内でストレッチの圧縮の作業中、圧縮機（プレス機）に手をはさまれた。,製造業,化学工業,プラスチック製品製造業,1～9人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,56,50代
H24,1,8～9,ケース置き場で作業中つまずき、ケースが倒れてきたため、ケースの角が目ジリに当たり、切った。,製造業,食料品製造業,その他の食料品製造業,50～99人,荷,荷,荷姿の物,崩壊、倒壊,70,60代以上
H24,1,17～18,作業者が製品を積載したスタンドを移動台車からフローベア台車に移載しようとしたが、スタンドの角がフローベア台車の一番目のローラーに当たりうまく積載できなかった。そのためスタンドを移動台車に戻そうとしたが、スタンドの重量が重く移動台車がずれ始めたため、一担スタンドを床におろそうと落下させたところ、スタンドが後方に倒れ、たまたま通行していた被災者の足に乗り、下敷きとなった。,製造業,化学工業,化学繊維製造業,300～499人,その他の装置等,人力機械工具等,人力運搬機,崩壊、倒壊,30,30代
H24,1,7～8,きのこカゴ詰め作業の為、作業棟へ移動中、コンクリート舗装された通路の路面凍結した上にうっすらと積もった雪のあった場所で、足を滑らせ転倒。路面に肘、わき腹を強く打ちつけた。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,60,60代以上
H24,1,15～16,鶏舎内で、被災従業員が換気扇を掃除するため、安全柵を外し、照明を点けずに暗がりの中で作業していた。他の従業員が換気扇のスイッチが切れていることに気付き、声をかけて舎内を確認したが、誰もいないと思い、誤って換気扇のスイッチを入れた。そのため、換気扇が動き負傷した。,製造業,食料品製造業,その他の食料品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,はさまれ、巻き込まれ,36,30代
H24,1,17～18,飛行機の翼面のパネルを取り付け取り外し作業中、スクリューヘッドに滑りが生じた。スクリュー交換の為スピードハンドルを使用してスクリューを緩めようと、（翼面が自身の頭上にあり、脚立にて立ち作業）手でスピーダーの底部を支え、手でスピーダーのクランク部を使用し、両手で力一杯押し付けたところ、脇腹付近に激痛を感じた。,製造業,その他の製造業,機械修理業,100～299人,その他の装置等,人力機械工具等,手工具,動作の反動、無理な動作,30,30代
H24,1,6～7,原料調合室内にて、調合作業中、足を滑らせた。その際、開封されていた一斗缶の鋭利な部分に手をつき、切った。,製造業,食料品製造業,飲料(酒類を除く)製造業,50～99人,物質、材料,材料,金属材料,切れ、こすれ,30,30代
