年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,1,6～7,積雪の除雪作業に従事していた際、除雪ローダー（１１ｔ）を運転し橋上を除雪中、橋中央部のジョイントにアングリングプラウ部が挟まり急停止し、その反動で助手席に座っていた被災者は、同側の手すりに頭部をぶつけ受傷した。,建設業,土木工事業,その他の土木工事業,1～9,動力機械,建設機械等,その他の建設用機械,激突,59
24,1,14～15,事業場内にて設備維持工事（作業）中、資材運搬の為、ドラム缶を運搬しようとして、ドラム缶を移動するため、力を入れて引いたところ、ドラム缶が空だった為、道路上に転倒した。その際、頭部を強打した。,建設業,その他の建設業,その他の建設業－その他,10～29,荷,荷,荷姿のもの,転倒,64
24,1,13～14,居室で壁（外壁面）に、内部よりコア抜き作業をするため、脚立（アルミ）を使用したが、脚立と共に転倒。手を着き手首、親指、小指を骨折、額を切った。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,50～99,その他の装置等,用具,はしご等,墜落・転落,49
24,1,15～16,道路用地にて、掘削機を使って切土をし、４ｔダンプに積み込む作業をしていた。４ｔダンプを坂道（傾斜３０）に停め、積み込んでいたところ、車止めをしなかったため、車がバックしたのに気付かず、掘削機と後輪に足が挟まり、負傷した。,建設業,土木工事業,その他の土木工事業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ巻き込まれ,58
24,1,8～9,２トンダンプ荷台の上に乗り、積み込んだ材料を整理し、アオリに足をかけ、飛び降りた。地面に着地した際、足を捻り、負傷した。,建設業,建築工事業,その他の建築工事業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,激突,43
24,1,11～12,伐採し終った竹を運ぶため、ノコギリで切断中、切り落とした竹が足に落ち、小指を骨折した。,建設業,土木工事業,その他の土木工事業,1～9,物質、材料,材料,木材、竹材,飛来・落下,29
24,1,11～12,ウレタン吹付工事中、脚立に乗って作業を行っていたところ、バランスを崩し約１ｍの高さから転倒。床に立っていた木製の土台に背中を強打した。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落・転落,38
24,1,9～10,鉄板（９ｍｍ）に鉄板穿孔用ドリルを装着した回転ドリルで穴を開ける作業中、ドリルが鉄板にくい込み回転が急停止した為、ドリル本体が急旋回し、持ち手ごと急激に回された。,建設業,建築工事業,その他の建築工事業,1～9,動力機械,金属加工用機械,その他の金属加工用機械,動作の反動無理な動作,33
24,1,16～17,個人宅のブロック修理工事現場にて、ブロックの門柱を解体取り壊し中、一人で門柱の下部の角をハンマーで叩いていたところ、門柱が倒れ、避けきれず足に当たり足指を骨折した。尚、安全靴は履いておらず運動靴を着用していた。,建設業,土木工事業,その他の土木工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊・倒壊,52
24,1,18～19,会社倉庫にて、トラックに積んだプレハブハウスの荷下ろし作業中、バランスを崩し、高さ３ｍのハウスの上から落下。手を負傷した。,建設業,建築工事業,木造家屋建築工事業,10～29,荷,荷,荷姿のもの,墜落・転落,38
