年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,1,15～16,屋外にて、断熱材を４ｔ平ボデートラックの荷台に既に積込まれた断熱材の上に上がり、積込作業をしていたところ、バランスをくずし、後向の体勢でトラックの荷台最後部よりアスファルト路面に落下した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,52
24,1,12～13,順立作業場にて、自動車部品のミッション（６個／スキット）をホイストクレーンを使用して、吊り上げる作業中、ミッションを斜めに吊り上げた為、ミッションがスキットの受ガイドに引っ掛かり、スキットが持ち上がり、被災者側手前に移動した。その後引っ掛かったスキットがはずれた為、スキットの脚部分が足先に落下。負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,物上げ装置、運搬機械,動力クレーン等,クレーン,飛来・落下,55
24,1,15～16,鉄製プレートの横移動作業を行っていたところ、持ち上げたプレートが横滑りし、保護手袋の上から手親指付け根部分を切創した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,物質、材料,材料,金属材料,切れ・こすれ,32
24,1,8～9,船に製品を積込む作業中、製品の番線にクレーンのフックをかけるため、事前に番線にクサビを差し込む作業をしていた際、製品の上に乗り、手で番線を掴んでクサビを差し込もうとしたところ、手が番線からすべり製品の上（約１．７ｍ）から転落。手とお尻を打った。尚、クサビを差し込む際、引っ掛けて使用して番線を持ち上げるようにしていたが、使用していなかった。,貨物取扱業,港湾運送業,港湾荷役業,10～29,荷,荷,荷姿のもの,墜落・転落,54
24,1,14～15,本船クレーンにて、フレコン揚げ荷役の玉掛け作業中、１段高い所のフレコンの上に乗り玉掛け作業を終え、退避しようと下の段に降りたところ、下のフレコン袋の吊手に右足を引っ掛け、転倒。近くのフレコンに手首を強打した。,貨物取扱業,港湾運送業,港湾荷役業,30～49,荷,荷,荷姿のもの,転倒,37
24,1,15～16,コンテナ荷役作業中、甲板上に積んである１段目のコンテナに梯子をかけて、コンテナ上に上がっていたところ、梯子の約１メートル位のところで梯子桟を踏み外し、足首を負傷した。,貨物取扱業,港湾運送業,その他の港湾運送業,100～299,その他の装置等,用具,はしご等,墜落・転落,38
24,1,16～17,梱包作業中、カッターナイフを使用し、パッキンケースに切り込みを入れていたところ、勢い余り足膝内側を切った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,その他の装置等,人力機械工具等,手工具,切れ・こすれ,49
24,1,5～6,クールボックスを移動中、他のボックスが当たり、その勢いでボックスが急に動きだし、足甲部分を挟んだ。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,300～499,その他の装置等,人力機械工具等,人力運搬機,はさまれ巻き込まれ,41
24,1,13～14,冷蔵庫内にて、脚立に上がって乳製品を取り終え、降りる際、脚立の一番下のステップに足を掛けたところ、足が滑り、バランスを崩した。とっさに足を床につき、親指を下にコの字に巻き込んだ状態のまま足を着いたため、足親指の第一関節部分の皮膚が裂けた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,その他の装置等,用具,はしご等,墜落・転落,42
24,1,22～23,物流センター内での仕分け作業にて、別の作業場所へ移動の際、水たまりを避けようとしたところ、プラットホーム下の側溝に足が挟まり、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,500～999,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,はさまれ巻き込まれ,42
24,1,19～20,作業場所を歩行中、停車していたフォークリフトに誤って接触し、車体とマストの間に転倒し、受傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,物上げ装置、運搬機械,動力運搬機,フォークリフト,転倒,34
24,1,12～13,コンテナ搬出用ゲートにて、冷凍コンテナのケーブルチェックを行う際、脚立高さ８０ｍを使用し、トレーラーシャーシの上（約１ｍ）へ上った。チェック終了後、後ろ向きに脚立から降りる際、足元の目視確認を怠った結果、一段目からバランスを崩し、足を踏み外し、転落。腓骨を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,その他の装置等,用具,はしご等,墜落・転落,63
24,1,15～16,モルタルポンプの残コン処理（モルタルポンプ内のモルタルをミキサー車の中にもどす処理）のため、ホッパー上部にいたところ、モルタルポンプのホースが振れ、足を滑らし、ミキサー車から落下。安全帯は使用していたが、落下の際、ミキサー車に踵を接触、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,44
24,1,11～12,玄米（３０ｋｇ紙袋入）の開封作業中、紙袋の結び口を手で持ち、手で開封用鎌を用い、袋口を開封していたところ、鎌の刃先が手人差指第一関節部分に当たり、切創負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,その他の装置等,人力機械工具等,手工具,切れ・こすれ,51
24,1,11～12,営業所内にて、フォークリフトから降車する際、誤って体勢を崩し、膝に全体重がかかった為、筋を痛めた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,フォークリフト,動作の反動無理な動作,39
